1,3,1,3,3,3,5,3
2,2,1,3,1,7,16,3
1,2,1,3,1,5,5,3
1,1,1,2,3,3,13,3
2,1,1,2,4,3,8,3
2,2,1,1,1,5,7,3
2,3,2,2,4,4,25,3
2,3,2,1,2,9,13,3
1,1,1,3,3,1,25,3
2,3,2,3,1,3,13,3
1,3,1,3,3,1,25,3
1,3,2,1,3,6,2,3
1,2,2,2,3,4,34,3
1,1,2,2,1,8,5,3
2,2,1,3,3,5,36,3
2,1,2,2,3,8,13,3
1,1,1,2,4,6,5,3
1,2,2,3,2,7,23,3
1,2,1,1,2,4,13,3
1,1,1,1,2,9,7,3
1,3,2,2,4,6,5,3
2,1,1,3,4,2,3,3
2,1,2,1,4,9,13,3
2,1,2,1,4,1,5,3
2,2,2,2,1,3,21,3
1,1,2,1,1,2,7,3
2,2,1,2,4,4,23,3
2,2,1,3,2,7,13,3
1,1,2,2,2,8,6,3
2,1,1,1,2,6,13,3
2,1,1,2,2,5,36,3
1,1,1,2,2,5,13,3
1,2,1,3,4,4,5,3
1,2,1,1,2,1,13,3
1,3,1,1,2,5,5,3
2,3,1,1,2,3,5,3
1,1,2,1,3,8,13,3
1,1,2,3,1,4,13,3
1,1,2,3,2,9,13,3
1,2,2,2,2,3,5,3
2,2,2,2,2,7,6,3
1,2,2,3,4,1,14,3
1,1,1,3,4,1,25,3
2,2,1,3,3,2,5,3
1,3,2,2,1,2,7,3
1,2,2,3,4,4,21,3
2,3,1,2,4,3,13,3
1,1,2,3,2,8,21,3
2,1,1,3,1,5,13,3
1,1,1,1,4,4,25,3
2,3,1,2,1,2,2,3
2,2,1,2,4,7,21,3
1,1,2,3,2,2,7,3
2,2,1,1,2,6,7,3
2,2,2,1,4,7,2,3
2,1,1,2,2,3,14,3
2,3,2,3,2,5,13,3
1,2,1,2,1,7,2,3
1,1,1,3,4,9,13,3
2,1,1,1,1,4,16,3
2,2,1,2,4,9,5,3
1,2,2,1,1,9,36,3
1,3,1,1,4,4,6,3
1,2,2,1,1,9,5,3
2,2,1,2,2,1,13,3
1,2,1,3,1,2,5,3
2,3,1,3,1,5,20,3
1,1,2,1,4,3,12,3
2,1,2,2,1,6,5,3
1,1,2,1,2,3,5,3
2,2,2,2,4,4,6,3
2,3,1,2,1,2,2,3
2,3,1,1,4,7,2,3
2,3,1,1,4,3,34,3
2,2,2,2,1,2,7,3
1,3,2,1,4,7,5,3
2,2,2,2,1,3,7,3
1,2,1,1,1,4,5,3
1,3,2,1,3,1,5,3
1,1,2,1,1,3,32,3
1,1,1,2,4,6,5,3
1,1,2,1,2,8,13,3
1,2,1,2,1,9,25,3
1,2,2,1,4,1,5,3
2,3,2,1,3,3,13,3
2,3,2,3,2,9,32,3
2,1,2,2,4,4,7,3
1,3,1,2,2,8,13,3
1,2,2,2,1,8,25,3
2,2,2,3,2,4,5,3
1,2,1,1,2,2,13,3
1,3,2,2,1,6,7,3
2,1,1,1,4,7,21,3
1,1,1,3,1,4,13,3
1,2,1,2,3,8,34,3
2,1,1,2,4,3,32,3
1,1,2,1,4,9,5,3
2,1,1,2,3,6,36,3
1,2,1,3,4,8,16,3
2,3,1,3,2,5,5,3
2,2,2,3,2,1,22,3
2,3,1,3,2,3,6,3
1,1,1,1,3,5,5,3
1,2,1,3,2,3,25,3
2,1,1,1,2,3,21,3
2,3,2,2,1,3,6,3
2,1,2,3,3,2,21,3
2,3,2,3,2,8,7,3
2,3,1,3,1,3,36,3
1,3,1,2,4,6,8,3
2,1,1,3,1,5,20,3
2,1,2,3,2,7,14,3
2,3,2,2,2,2,5,3
2,1,1,2,2,9,5,3
1,2,1,1,3,4,5,3
2,3,2,1,1,1,21,3
1,2,2,3,3,1,25,3
1,2,2,1,4,5,5,3
1,2,2,3,4,4,7,3
1,3,2,1,1,9,13,3
2,3,1,2,1,2,25,3
2,2,2,1,2,3,5,3
2,3,1,2,3,5,5,3
1,3,1,1,1,4,36,3
1,3,1,1,2,5,34,3
1,2,2,2,1,3,5,3
2,2,1,2,3,7,2,3
1,3,1,1,1,4,25,3
2,2,2,3,4,1,21,3
1,2,1,3,4,9,13,3
2,3,1,2,4,4,5,3
2,2,2,1,2,3,13,3
2,1,2,1,4,8,13,3
1,3,2,2,2,7,5,3
2,1,2,2,4,8,2,3
2,1,1,3,1,3,7,3
2,3,2,3,4,6,2,3
2,2,2,3,2,3,5,3
1,1,2,1,1,2,13,3
2,1,1,3,3,1,5,3
2,2,2,1,3,7,23,3
2,3,1,3,1,9,13,3
2,3,2,2,4,8,25,3
1,1,2,1,3,6,13,3
1,2,1,2,2,2,25,3
1,1,1,3,3,3,13,3
2,1,1,3,1,6,2,3
1,1,2,1,3,7,7,3
1,2,2,2,3,8,7,3
1,1,2,3,4,3,32,3
1,3,1,1,1,9,13,3
1,1,2,2,4,2,21,3
1,2,1,3,4,4,13,3
1,2,1,2,3,5,25,3
1,3,2,1,3,4,21,3
1,1,2,1,4,9,5,3
1,2,2,3,2,3,13,3
1,3,1,2,2,3,7,3
1,2,1,1,1,5,5,3
1,3,1,3,3,5,13,3
2,1,2,2,1,6,14,3
1,1,2,1,1,8,7,3
2,1,1,2,3,3,5,3
1,1,1,1,2,1,7,3
1,3,2,1,4,9,32,3
2,1,1,1,2,8,5,3
2,2,2,3,2,5,21,3
1,1,2,1,1,3,2,3
2,2,1,1,4,2,5,3
2,1,2,1,1,3,5,3
1,2,2,1,4,8,14,3
1,2,1,2,1,6,21,3
1,2,1,2,1,2,7,3
1,3,2,1,3,9,7,3
2,3,1,1,2,5,7,3
2,2,1,3,3,1,7,3
2,1,1,1,1,2,21,3
2,2,2,3,1,2,5,3
1,1,2,1,2,3,5,3
2,2,1,3,4,6,25,3
2,3,1,3,3,9,21,3
2,2,2,3,1,4,5,3
2,3,2,3,4,2,6,3
2,3,2,1,4,3,2,3
1,2,1,1,4,9,13,3
2,3,1,2,4,2,21,3
2,2,2,1,3,4,14,3
1,3,2,3,3,1,4,3
2,2,2,2,3,2,13,3
2,3,1,2,1,7,2,3
1,3,1,1,4,9,7,3
2,1,2,3,4,4,5,3
2,1,2,2,1,1,14,3
1,3,2,2,3,3,13,3
2,3,2,2,3,3,5,3
1,2,2,3,3,3,25,3
1,3,1,3,2,3,5,3
2,3,2,2,3,6,13,3
2,1,2,3,2,1,5,3
2,1,1,1,1,2,13,3
2,1,1,2,1,4,34,3
2,3,1,3,1,7,13,3
2,1,1,3,4,4,5,3
2,2,2,3,3,2,13,3
1,2,1,1,4,2,13,3
2,2,2,1,4,5,21,3
2,1,2,2,4,1,21,3
2,3,2,2,4,5,7,3
2,2,1,2,4,9,16,3
2,3,2,1,4,4,13,3
2,3,2,2,4,2,5,3
1,1,2,1,2,7,36,3
2,1,2,2,1,2,13,3
1,2,2,1,2,6,25,3
2,1,1,1,2,4,16,3
2,2,1,2,3,5,25,3
2,3,2,3,2,7,21,3
2,3,1,3,2,8,21,3
1,3,1,1,4,2,14,3
1,2,2,2,3,3,13,3
2,3,2,1,4,3,5,3
2,2,1,3,1,8,15,3
1,1,1,3,4,1,5,3
1,1,2,2,4,5,13,3
2,3,2,1,4,9,2,3
1,3,1,3,4,9,21,3
1,3,1,1,1,7,25,3
2,1,2,1,1,9,5,3
2,3,2,3,4,8,7,3
2,1,2,2,1,3,25,3
2,3,1,3,4,9,5,3
1,2,2,2,4,8,5,3
2,3,2,2,3,1,13,3
1,2,1,1,2,6,2,3
2,1,1,2,1,1,21,3
2,1,2,2,2,6,5,3
2,1,1,3,1,2,25,3
2,1,2,2,2,4,2,3
1,1,2,3,1,9,2,3
2,2,1,2,4,4,2,3
2,2,2,2,4,1,25,3
2,3,2,2,4,5,5,3
1,2,1,3,1,5,7,3
1,1,1,2,4,4,21,3
1,2,2,2,2,1,5,3
2,3,2,1,1,4,5,3
1,2,2,1,2,8,13,3
2,2,2,2,2,2,13,3
2,2,1,3,1,5,11,3
1,3,1,3,1,6,13,3
1,2,2,3,4,1,25,3
2,1,1,2,4,1,6,3
2,1,1,3,2,4,21,3
1,2,2,3,2,9,13,3
1,2,1,2,4,4,5,3
1,3,2,1,3,5,5,3
1,1,1,1,3,7,5,3
2,3,1,1,2,6,21,3
1,3,1,2,1,2,5,3
1,3,1,3,4,3,21,3
1,1,2,3,1,4,32,3
1,2,2,1,4,5,13,3
2,1,1,2,2,1,2,3
1,1,1,3,4,8,21,3
1,1,2,3,3,2,25,3
2,3,1,2,3,3,2,3
1,1,2,2,1,1,16,3
1,2,1,1,4,5,5,3
2,3,2,3,2,6,16,3
2,2,1,1,1,1,13,3
1,1,2,1,3,2,13,3
1,1,1,1,2,2,13,3
2,2,2,2,3,7,21,3
1,1,1,2,1,7,16,3
2,1,1,3,2,7,7,3
1,2,2,3,2,3,7,3
2,2,1,2,2,3,2,3
2,2,2,2,3,4,2,3
1,3,2,3,1,6,36,3
2,2,2,3,4,9,13,3
1,3,1,1,2,9,16,3
1,2,2,2,2,1,21,3
1,2,2,1,4,1,7,3
2,1,1,1,4,4,13,3
2,1,2,1,3,6,25,3
1,1,2,2,3,2,5,3
1,1,1,1,2,3,25,3
1,1,1,2,2,6,13,3
1,2,1,2,4,3,13,3
1,1,2,2,4,1,13,3
1,1,1,3,2,8,5,3
2,3,2,2,1,6,13,3
1,2,1,1,4,2,25,3
2,1,2,3,3,6,13,3
2,1,1,2,3,1,2,3
2,2,2,1,3,5,5,3
2,2,1,1,1,3,2,3
1,1,2,3,4,2,21,3
2,2,1,3,1,8,13,3
1,2,1,3,4,1,13,3
1,3,1,1,2,3,16,3
2,1,1,2,3,3,6,3
2,1,1,2,4,6,13,3
2,3,1,2,4,3,13,3
2,1,1,2,2,7,5,3
1,3,2,3,1,6,22,3
1,3,2,3,3,5,25,3
1,2,1,3,2,8,6,3
2,2,2,2,4,8,13,3
1,2,2,1,4,6,5,3
1,3,2,2,3,8,36,3
2,2,1,3,3,9,5,3
1,3,1,1,2,8,5,3
2,3,2,2,4,8,5,3
2,1,1,3,4,3,5,3
1,3,1,2,1,1,2,3
1,2,1,3,3,6,36,3
2,3,1,3,3,2,36,3
1,3,1,3,4,3,4,3
1,3,2,3,3,7,21,3
1,3,2,3,4,1,25,3
2,2,1,2,2,3,7,3
1,2,1,3,1,1,5,3
2,1,2,2,2,9,2,3
2,2,1,2,4,5,25,3
1,1,2,3,1,3,5,3
2,2,1,3,4,7,13,3
1,1,1,1,1,7,21,3
2,1,1,2,1,1,13,3
2,2,1,3,3,9,5,3
2,1,2,2,2,4,25,3
2,2,2,1,2,2,7,3
1,2,1,2,3,5,13,3
2,3,1,2,4,3,7,3
2,2,2,2,4,6,8,3
2,2,2,3,1,6,13,3
2,2,2,1,4,4,36,3
1,3,2,2,2,2,13,3
1,3,2,1,1,5,13,3
2,2,1,1,2,9,25,3
2,3,2,2,1,5,21,3
2,1,2,2,1,7,7,3
1,2,2,3,4,9,13,3
1,2,2,1,1,4,13,3
2,3,2,3,2,2,21,3
1,3,2,3,1,4,21,3
2,1,2,2,4,6,22,3
1,2,1,2,3,9,13,3
1,2,1,1,2,1,13,3
1,3,1,1,4,1,5,3
1,2,1,2,1,1,7,3
2,1,1,2,2,8,23,3
2,2,1,1,3,4,2,3
2,2,2,3,1,9,6,3
2,2,1,2,4,6,13,3
1,1,2,3,1,2,36,3
2,1,1,3,4,6,21,3
2,1,1,3,1,4,5,3
1,2,2,3,2,4,16,3
2,2,1,2,3,4,13,3
1,1,1,2,1,9,21,2
2,2,2,2,4,2,21,2
2,2,1,2,4,4,6,2
2,2,2,2,1,6,4,2
1,3,1,2,4,1,25,2
2,1,1,2,3,8,21,2
2,2,2,2,2,5,21,2
1,1,2,2,3,1,6,2
2,3,2,2,4,2,23,2
1,1,1,2,1,4,19,2
1,3,2,2,1,3,21,2
1,3,2,2,3,2,6,2
2,3,2,2,3,5,21,2
1,1,2,2,1,6,3,2
1,3,2,2,3,1,6,2
1,1,2,2,1,4,21,2
1,3,1,2,2,7,21,2
1,1,2,2,1,1,8,2
1,2,1,2,4,9,6,2
1,3,1,2,4,6,6,2
2,2,2,2,3,8,21,2
1,2,2,2,2,7,21,2
2,3,2,2,1,9,21,2
1,3,2,2,1,8,21,2
1,1,1,2,1,8,21,2
2,2,2,2,2,7,21,2
2,1,2,2,1,4,21,2
2,2,2,2,4,5,21,2
2,1,2,2,2,1,6,2
1,1,2,2,1,4,25,2
1,1,1,2,1,9,21,2
1,3,2,2,4,7,21,2
1,3,1,2,1,8,21,2
1,1,1,2,2,4,21,2
2,2,1,2,2,6,20,2
1,2,2,2,4,2,21,2
1,3,2,2,1,1,21,2
1,1,1,2,1,9,6,2
2,3,1,2,1,3,19,2
2,2,2,2,2,6,21,2
1,3,2,2,4,7,22,2
1,1,1,2,1,7,9,2
2,3,1,2,4,2,21,2
1,3,2,2,2,1,21,2
1,2,2,2,4,9,3,2
2,1,2,2,1,7,21,2
1,2,1,2,4,6,21,2
1,1,1,2,3,8,25,2
2,2,1,2,4,1,21,2
1,3,2,2,1,9,21,2
2,2,2,2,2,9,21,2
1,1,1,2,4,9,35,2
2,1,2,2,3,9,25,2
2,3,1,2,2,7,21,2
1,2,2,2,2,7,21,2
1,3,1,2,2,1,20,2
2,3,1,2,2,7,21,2
1,1,2,2,3,7,4,2
2,2,1,2,2,2,23,2
2,3,2,2,3,6,21,2
2,2,2,2,2,1,25,2
2,3,2,2,2,8,5,2
2,2,1,2,2,6,21,2
1,3,2,2,4,3,19,2
2,1,1,2,1,3,21,2
1,2,2,2,3,9,21,2
1,2,1,2,3,2,21,2
2,1,1,2,4,7,21,2
1,2,1,2,1,7,32,2
2,1,1,2,1,4,21,2
2,2,1,2,3,6,21,2
2,1,2,2,4,6,21,2
1,1,1,2,1,2,4,2
1,1,2,2,4,7,21,2
2,3,2,2,4,9,21,2
2,2,1,2,4,7,21,2
1,2,1,2,1,2,21,2
1,3,2,2,3,3,25,2
2,2,2,2,2,9,21,2
2,3,2,2,4,2,21,2
2,2,1,2,1,1,6,2
2,1,2,2,4,1,21,2
2,1,2,2,2,4,21,2
2,2,1,2,4,6,21,2
2,2,1,2,2,2,4,2
1,1,2,2,3,7,21,2
2,2,2,2,2,5,21,2
1,2,1,2,2,6,21,2
1,3,1,2,3,4,21,2
1,2,1,2,1,6,21,2
2,2,2,2,1,3,23,2
1,3,1,2,4,9,21,2
2,2,2,2,1,8,25,2
2,1,2,2,4,2,21,2
1,3,2,2,4,2,25,2
2,2,1,2,3,2,6,2
1,3,2,2,4,9,21,2
1,2,2,2,4,7,6,2
2,1,2,2,2,7,21,2
1,3,1,2,2,8,21,2
2,2,2,2,4,6,21,2
1,3,1,2,4,3,21,2
2,1,1,2,4,6,21,2
1,1,2,2,1,6,21,2
1,2,2,2,3,8,21,2
2,1,1,2,1,6,5,2
1,1,2,2,4,2,21,2
1,2,2,2,1,8,21,2
2,1,2,2,1,2,21,2
1,1,1,2,3,9,21,2
2,1,2,2,3,3,21,2
2,3,1,2,4,7,22,2
1,2,2,2,2,9,25,2
2,2,2,2,1,1,25,2
2,3,2,2,3,1,21,2
2,3,2,2,2,1,21,2
1,1,1,2,4,9,21,2
2,1,1,2,2,4,21,2
1,1,1,2,3,4,5,2
2,2,2,2,1,3,21,2
2,2,2,2,3,6,25,2
1,1,1,2,4,7,21,2
1,1,1,2,2,7,35,2
1,2,2,2,2,6,21,2
2,2,1,2,3,6,11,2
2,2,2,2,1,2,25,2
2,1,1,2,2,1,5,2
1,1,2,2,1,7,21,2
1,3,2,2,1,4,21,2
2,1,1,2,4,8,6,2
1,3,1,2,2,6,21,2
2,1,2,2,2,8,21,2
1,3,1,2,2,1,6,2
1,1,1,2,1,2,21,2
1,2,1,2,3,2,25,2
1,1,1,2,2,2,6,2
2,1,1,2,3,6,21,2
2,2,2,2,4,9,6,2
1,1,2,2,3,4,21,2
2,1,1,2,4,2,19,2
2,1,2,2,1,9,25,2
1,1,1,2,4,6,21,2
2,2,1,2,3,6,19,2
2,1,1,2,3,9,21,2
1,1,2,2,1,2,21,2
1,3,2,2,3,6,21,2
1,1,1,2,2,9,21,2
1,1,2,2,4,6,11,2
2,3,2,2,1,2,21,2
2,3,2,2,1,8,21,2
2,1,1,2,3,2,21,2
1,1,2,2,4,6,21,2
2,2,2,2,1,2,21,2
2,2,2,2,1,6,22,2
1,1,2,2,1,9,25,2
1,1,1,2,3,2,4,2
1,3,2,2,3,7,21,2
1,3,1,2,4,1,21,2
2,2,1,2,4,8,25,2
1,2,2,2,2,3,25,2
1,1,1,2,3,8,22,2
1,2,2,2,3,2,25,2
2,2,1,2,1,4,21,2
2,3,1,2,3,6,21,2
1,2,2,2,1,3,6,2
2,1,1,2,3,9,21,2
2,3,2,2,2,7,21,2
1,3,2,2,3,2,21,2
2,3,2,2,2,1,24,2
2,1,1,2,3,2,5,2
1,1,2,2,1,7,21,2
2,1,1,2,1,4,6,2
1,2,2,2,1,1,4,2
2,2,1,2,3,7,21,2
1,1,2,2,2,6,25,2
1,2,1,2,2,7,25,2
1,1,2,2,4,3,21,2
1,3,2,2,1,2,21,2
1,1,2,2,4,4,5,2
2,3,2,2,3,3,21,2
2,2,2,2,1,3,25,2
2,2,2,2,1,6,21,2
1,1,2,2,3,6,21,2
2,2,1,2,3,2,6,2
1,2,2,2,1,2,4,2
1,2,1,2,1,6,21,2
2,3,2,2,2,7,6,2
1,1,2,2,4,1,6,2
2,1,2,2,1,7,25,2
1,1,1,2,4,9,21,2
2,2,2,2,2,4,21,2
1,2,2,2,3,4,21,2
2,2,1,2,1,5,21,2
1,1,2,2,1,2,21,2
2,2,2,2,2,9,21,2
2,2,1,2,2,6,6,2
2,1,1,2,1,8,9,2
1,3,1,2,2,7,6,2
2,2,2,2,3,7,25,2
1,1,1,2,4,3,25,2
1,1,2,2,4,2,21,2
1,3,1,2,2,3,21,2
2,2,1,2,1,2,21,2
2,2,1,2,1,6,22,2
1,1,2,2,4,7,5,2
1,1,2,2,4,2,21,2
2,3,2,2,4,2,21,2
1,3,2,2,3,9,6,2
1,2,2,2,4,2,6,2
1,2,2,2,4,8,6,2
1,2,2,2,3,4,21,2
1,2,1,2,1,4,21,2
2,3,2,2,2,9,21,2
1,1,1,2,4,3,25,2
2,1,1,2,2,2,21,2
2,1,2,2,3,4,21,2
1,2,1,2,2,2,21,2
1,3,1,2,1,3,21,2
1,3,1,2,1,7,21,2
1,2,1,2,2,4,25,2
2,1,1,2,1,4,21,2
1,3,1,2,4,9,21,2
1,1,1,2,1,2,21,2
1,3,2,2,3,8,25,2
2,1,2,2,2,6,4,2
1,3,1,2,2,6,25,2
2,2,1,2,3,2,21,2
1,2,2,2,1,7,21,2
1,3,1,2,4,5,21,2
2,2,1,2,4,8,21,2
2,3,2,2,2,1,21,2
1,2,1,2,3,6,21,2
1,2,2,2,2,3,21,2
1,2,1,2,1,7,3,2
1,3,1,2,3,8,25,2
2,1,2,2,3,3,25,2
1,1,2,2,3,3,6,2
1,1,2,2,3,2,21,2
2,2,1,2,1,2,21,2
2,2,2,2,2,4,6,2
2,1,1,2,2,8,21,2
2,1,1,2,2,5,4,2
1,3,2,2,3,1,14,2
