1,3,1,3,3,3,5,3
1,3,1,2,1,7,2,1
2,2,1,3,2,8,2,1
1,3,1,3,3,1,35,1
2,3,2,2,3,8,32,1
1,1,1,2,2,1,35,1
2,1,1,1,3,8,32,1
2,2,1,3,1,7,32,1
1,2,1,3,1,6,32,1
2,3,1,2,3,2,22,1
1,1,2,3,4,2,25,1
2,3,2,3,3,6,3,1
2,3,2,3,1,1,25,1
1,3,2,3,3,4,25,1
2,2,2,3,1,8,13,1
1,3,2,2,2,6,25,1
2,2,1,2,3,1,25,1
2,2,2,3,3,2,35,1
1,3,1,3,2,6,2,1
2,3,1,1,2,7,2,1
2,3,2,1,3,8,32,1
2,2,2,3,3,4,25,1
1,3,1,3,4,1,25,1
2,2,1,2,4,6,2,1
2,1,2,1,2,7,35,1
1,3,2,1,2,4,4,1
1,1,2,1,4,7,25,1
2,2,2,3,1,1,32,1
1,2,2,2,2,4,32,1
1,3,1,1,4,4,35,1
1,3,1,1,4,8,35,1
2,3,2,2,3,4,14,1
1,2,1,1,3,8,6,1
2,3,2,2,4,8,32,1
2,1,2,3,2,1,25,1
1,2,2,3,2,7,22,1
1,2,1,2,2,8,32,1
2,3,2,1,1,8,13,1
1,2,2,1,2,9,35,1
1,2,2,1,1,4,25,1
1,3,1,1,3,6,5,1
1,2,1,3,3,7,25,1
2,3,1,2,2,3,3,1
1,2,2,2,4,9,25,1
2,2,1,3,1,7,3,1
2,1,2,2,1,9,32,1
2,1,1,2,1,1,32,1
2,3,1,2,4,5,5,1
2,2,1,2,4,8,32,1
2,3,1,2,3,8,35,1
2,2,1,1,2,2,25,1
1,1,1,1,3,9,35,1
1,2,2,3,3,4,35,1
2,3,2,3,1,6,32,1
2,3,2,2,2,6,32,1
2,2,1,1,3,2,25,1
2,2,2,1,3,4,35,1
2,1,1,3,2,6,32,1
2,1,1,2,2,9,5,1
2,3,1,2,2,4,32,1
2,3,1,1,1,1,35,1
2,1,1,1,4,8,13,1
2,2,1,3,1,2,35,1
2,1,2,3,3,8,35,1
2,2,2,2,1,2,8,1
2,1,2,3,2,8,32,1
1,1,1,2,4,7,32,1
2,1,2,3,3,9,22,1
1,1,2,1,3,2,25,1
1,2,1,3,4,2,32,1
1,3,2,3,3,7,2,1
2,1,1,3,3,7,13,1
1,1,2,3,1,7,5,1
2,1,1,3,1,6,3,1
1,2,2,3,1,7,35,1
1,3,1,2,3,2,35,1
1,2,1,1,2,7,2,1
2,1,1,3,2,7,2,1
1,2,1,3,2,6,5,1
2,3,2,3,4,9,35,1
1,3,2,3,1,1,25,1
1,3,2,2,4,4,2,1
2,2,2,2,4,5,4,1
2,1,2,1,1,7,32,1
2,2,1,3,1,8,32,1
2,1,2,3,1,8,35,1
1,2,2,2,2,6,35,1
2,3,2,1,4,9,25,1
1,3,1,2,2,1,2,1
2,3,1,2,2,8,10,1
1,3,2,3,1,1,32,1
1,3,2,2,3,9,2,1
1,2,1,3,4,7,32,1
1,1,2,3,3,2,32,1
1,1,1,3,3,2,32,1
2,2,1,2,1,8,2,1
1,2,1,1,1,1,3,1
1,2,1,3,4,6,32,1
1,2,2,3,2,2,2,1
1,2,1,3,2,6,32,1
2,2,1,3,3,5,5,1
1,3,2,2,3,8,35,1
2,2,2,3,3,2,5,1
1,3,1,3,2,9,35,1
1,1,2,2,1,8,25,1
2,1,1,2,2,1,35,1
2,1,2,3,1,7,32,1
1,2,2,3,3,1,20,1
2,3,2,3,4,4,2,1
1,2,2,2,2,9,35,1
2,2,2,1,1,1,35,1
2,2,1,3,3,2,35,1
2,1,1,3,3,9,32,1
2,3,1,1,3,9,18,1
2,1,1,2,2,1,32,1
1,2,2,1,1,7,25,1
1,1,1,3,3,1,35,1
2,1,2,3,2,1,18,1
2,1,1,1,4,8,35,1
2,2,1,3,3,6,32,1
1,2,1,1,3,6,2,1
2,3,1,3,1,1,5,1
2,3,1,3,1,2,32,1
2,2,1,3,2,1,20,1
1,1,1,1,2,6,32,1
2,1,1,1,2,4,32,1
1,2,1,2,1,8,35,1
2,1,2,2,2,5,5,1
2,3,2,1,1,6,20,1
1,1,1,3,4,1,32,1
2,2,1,2,1,3,23,1
2,2,2,2,1,1,32,1
2,2,1,1,1,7,32,1
2,3,1,2,4,1,25,1
2,1,2,2,1,8,5,1
2,3,2,1,2,6,35,1
1,2,2,2,2,8,35,1
1,1,1,1,1,1,22,1
1,3,1,3,2,2,25,1
2,2,2,3,1,9,2,1
2,3,2,2,1,8,35,1
1,1,2,3,1,7,32,1
1,1,1,3,4,2,9,1
2,1,1,3,2,1,20,1
2,2,1,3,1,8,35,1
2,1,1,2,1,4,35,1
1,1,2,1,2,1,35,1
1,3,1,3,3,1,32,1
1,3,1,2,3,8,14,1
1,3,1,2,2,8,25,1
2,2,1,3,3,4,20,1
1,2,2,2,3,8,35,1
1,1,1,2,2,9,2,1
1,1,2,3,4,5,5,1
1,2,2,1,2,8,22,1
2,1,1,2,3,4,32,1
2,1,1,1,2,8,35,1
1,1,2,3,4,2,35,1
2,3,1,2,4,7,25,1
2,3,2,1,2,4,14,1
2,3,2,2,2,6,16,1
2,3,1,2,1,1,32,1
2,3,1,3,2,1,2,1
1,1,2,3,1,9,25,1
2,1,1,3,3,8,25,1
2,2,1,2,1,9,32,1
2,2,1,3,2,9,32,1
2,2,2,1,4,7,35,1
1,2,1,3,1,8,32,1
2,2,1,2,3,7,32,1
1,2,2,1,3,4,23,1
2,3,2,3,2,9,35,1
2,2,1,3,1,6,32,1
2,3,2,3,1,7,35,1
1,2,1,2,3,2,32,1
2,2,2,3,3,2,25,1
1,1,1,2,2,1,5,1
1,1,2,2,3,8,5,1
2,3,2,1,3,8,22,1
1,1,1,3,3,1,3,1
2,3,2,2,1,4,5,1
2,1,1,1,1,7,32,1
2,1,1,1,3,8,13,1
2,2,2,1,2,1,27,1
2,3,1,2,2,7,35,1
1,2,1,2,2,5,32,1
2,1,2,3,2,8,25,1
1,3,1,2,3,4,3,1
2,2,2,1,2,1,35,1
1,1,1,1,3,4,35,1
1,1,2,3,1,4,25,1
2,3,1,3,3,6,35,1
1,2,1,1,2,7,35,1
2,1,1,3,4,4,32,1
2,3,2,3,1,4,25,1
1,2,1,2,4,4,2,1
2,2,2,2,1,6,5,1
1,2,1,1,4,1,8,1
2,1,2,3,1,6,13,1
2,3,2,1,3,7,35,1
2,2,1,1,1,7,8,1
2,1,2,1,4,7,35,1
2,1,1,3,3,8,25,1
1,3,1,3,1,6,25,1
1,2,1,3,4,6,2,1
1,3,2,3,1,1,35,1
1,1,2,2,3,7,35,1
2,3,2,2,1,2,2,1
2,2,2,2,4,1,35,1
1,2,1,3,4,7,25,1
2,2,1,3,1,6,25,1
2,2,1,2,2,4,32,1
2,2,1,3,1,1,35,1
2,1,2,1,2,8,32,1
2,3,1,1,1,8,5,1
1,3,1,1,4,8,32,1
1,3,2,3,4,2,18,1
2,1,2,1,4,6,32,1
2,1,1,1,1,4,35,1
1,2,2,3,1,2,32,1
1,1,1,3,3,4,32,1
2,3,2,3,1,8,5,1
2,3,2,1,2,1,25,1
2,2,1,1,1,4,32,1
2,2,2,2,1,7,32,1
2,3,1,3,2,1,32,1
1,3,1,3,4,9,5,1
1,1,2,2,3,9,5,1
1,1,2,3,2,7,2,1
2,1,1,1,1,1,32,1
2,2,1,3,2,9,25,1
2,2,2,2,4,7,35,1
1,1,2,3,3,9,25,1
1,1,1,2,1,7,32,1
2,3,2,2,2,6,2,1
2,2,2,2,2,6,35,1
1,1,2,3,3,8,35,1
1,2,2,1,2,4,25,1
1,1,1,2,2,1,14,1
2,3,1,1,4,4,6,1
1,3,2,1,3,8,32,1
1,3,1,1,2,7,25,1
2,2,2,1,1,6,32,1
1,2,1,1,1,1,32,1
2,1,2,1,2,1,32,1
2,1,2,1,3,7,25,1
2,3,1,1,1,6,35,1
2,1,1,3,2,1,4,1
1,2,2,3,4,6,35,1
1,3,1,2,3,8,5,1
1,2,2,1,2,8,2,1
1,1,2,1,4,2,20,1
1,3,1,2,1,1,5,1
1,1,2,1,2,1,35,1
1,2,2,1,4,4,32,1
2,2,1,1,2,9,25,1
2,3,1,1,2,9,32,1
1,3,2,1,2,8,35,1
1,2,2,2,2,6,25,1
1,3,1,1,1,1,25,1
1,1,2,2,4,7,5,1
1,2,1,1,1,6,32,1
2,1,2,3,2,7,25,1
2,2,2,1,3,1,35,1
1,2,1,2,1,6,5,1
1,1,1,2,4,2,5,1
1,2,1,2,3,4,32,1
1,3,1,1,4,2,35,1
2,3,2,3,4,8,32,1
2,2,2,2,2,1,7,1
1,2,2,1,4,6,32,1
1,1,1,2,4,1,35,1
2,1,2,1,1,7,32,1
2,2,1,2,1,7,32,1
1,2,1,1,2,6,32,1
1,3,2,3,1,9,35,1
2,1,1,3,4,2,2,1
2,2,1,3,2,1,2,1
2,3,1,1,2,8,35,1
2,1,2,3,1,6,13,1
2,3,1,3,1,7,32,1
1,1,2,1,4,2,5,1
1,2,1,1,4,8,20,1
1,1,1,1,2,7,2,1
1,2,2,1,1,7,25,1
2,1,1,1,1,8,5,1
2,1,1,1,3,5,35,1
2,1,1,3,2,4,25,1
1,3,2,2,3,5,35,1
1,1,1,3,4,9,35,1
2,2,1,2,4,1,25,1
2,1,2,3,3,9,32,1
2,2,2,3,1,8,5,1
1,1,1,3,1,9,35,1
2,1,2,1,3,1,35,1
2,3,1,2,4,1,2,1
2,3,2,3,3,8,32,1
1,1,1,1,1,6,2,1
2,2,1,3,2,6,25,1
2,1,2,3,2,7,32,1
1,1,2,3,2,4,25,1
2,3,1,3,2,8,5,1
1,2,2,2,2,2,35,1
2,2,2,2,2,2,32,1
2,3,1,2,1,7,20,1
1,2,2,3,1,6,35,1
1,1,2,2,3,5,25,1
2,3,2,3,3,8,8,1
1,1,1,1,3,3,25,1
1,1,1,3,3,9,2,1
1,2,2,1,1,8,2,1
1,3,2,2,4,2,25,1
2,3,2,3,1,4,32,1
2,1,1,3,1,1,35,1
1,2,1,2,3,5,5,1
1,1,2,3,1,1,32,1
2,2,1,1,1,5,25,1
1,2,2,1,1,4,5,1
1,1,1,3,4,8,3,1
2,1,2,3,2,4,35,1
1,2,1,3,4,9,5,1
1,2,1,3,2,6,25,1
2,1,2,3,1,7,32,1
2,1,2,1,4,2,25,1
2,3,1,1,1,9,25,1
2,3,1,1,2,8,35,1
2,3,2,3,4,1,25,1
1,1,1,1,2,1,32,1
2,3,1,2,2,7,35,1
1,2,2,1,1,9,32,1
2,2,2,1,4,4,18,1
2,2,1,1,3,1,2,1
1,1,1,2,2,9,32,1
1,2,1,3,2,8,32,1
1,1,1,2,1,8,3,1
1,3,1,1,2,4,35,1
1,1,1,3,2,7,35,1
1,1,2,3,3,7,32,1
2,1,2,2,3,6,16,1
2,1,1,1,2,4,35,1
2,1,1,3,1,7,32,1
1,3,2,2,4,8,35,1
1,1,2,1,2,9,35,1
2,1,1,2,2,9,32,1
1,3,2,1,4,4,35,1
2,2,2,2,2,1,13,1
2,1,1,3,2,7,25,1
1,2,2,3,4,1,32,1
1,1,1,2,2,7,25,1
2,3,2,2,3,6,15,1
1,2,1,3,4,6,3,1
1,3,2,3,4,9,35,1
2,3,2,1,1,7,20,1
2,1,1,1,3,4,35,1
1,2,2,1,1,8,35,1
1,1,2,3,1,9,35,1
2,3,1,1,4,9,2,1
2,1,2,1,1,9,35,1
1,1,1,1,3,8,14,1
1,3,2,3,4,9,3,1
2,2,1,2,4,9,5,1
1,2,1,3,2,1,32,1
2,3,2,3,4,4,2,1
2,1,1,1,3,1,25,1
1,2,2,1,2,9,5,1
1,3,2,1,3,8,32,1
2,3,1,3,1,8,20,1
1,1,2,3,4,6,32,1
1,2,1,3,1,2,20,1
2,1,1,3,4,7,32,1
1,2,1,1,4,3,13,1
2,1,1,2,2,4,25,1
1,1,2,3,1,4,25,1
2,1,1,2,2,2,32,1
2,2,1,2,3,1,5,1
2,1,1,3,4,9,25,1
2,2,2,3,2,5,25,1
1,1,2,2,1,8,2,1
2,3,1,2,3,7,6,1
1,2,1,1,1,4,35,1
2,3,1,1,3,9,2,1
2,3,1,3,2,5,32,1
2,1,1,3,2,9,5,1
2,1,1,3,3,4,32,1
2,3,2,1,4,5,22,1
2,2,2,1,1,2,35,1
1,1,1,3,1,2,23,1
2,2,1,3,2,4,6,1
2,3,2,1,1,6,35,1
1,2,1,1,3,8,35,1
1,2,1,2,1,7,32,1
2,2,1,3,2,4,25,1
1,3,2,3,2,9,5,1
2,3,2,2,3,5,25,1
2,3,2,3,1,8,32,1
2,1,1,1,1,8,14,1
2,1,2,1,1,2,35,1
2,3,2,1,4,6,32,1
1,1,1,1,4,7,35,1
2,1,1,2,1,7,35,1
2,3,2,1,2,8,35,1
2,2,2,2,2,7,35,1
2,1,1,1,1,1,35,1
2,2,2,1,3,8,35,1
1,1,2,3,1,4,3,1
2,3,1,3,3,1,32,1
2,3,2,3,3,7,5,1
2,1,1,1,1,9,32,1
1,3,1,3,2,7,7,1
1,1,1,2,2,6,32,1
2,2,1,3,4,4,32,1
2,2,1,2,2,8,5,1
1,2,2,3,3,7,35,1
2,3,2,3,2,2,5,1
2,1,2,3,2,1,35,1
2,1,1,2,1,6,25,1
1,3,1,1,3,6,13,1
2,2,2,2,2,8,35,1
2,3,1,3,4,4,3,1
2,2,1,3,3,4,25,1
1,1,2,1,3,9,32,1
2,2,2,1,3,4,32,1
2,1,1,2,4,8,7,1
2,2,2,1,1,8,35,1
1,3,2,2,1,1,5,1
2,1,1,2,3,6,35,1
2,1,2,1,1,7,25,1
1,1,1,2,2,1,35,1
1,2,2,3,1,4,25,1
1,2,2,3,2,9,5,1
1,2,2,2,3,2,32,1
2,1,2,2,3,6,2,1
2,1,1,3,4,4,32,1
2,2,1,2,1,9,20,1
1,2,1,1,2,9,27,1
1,2,1,2,2,7,35,1
2,2,2,2,3,1,15,1
2,3,2,3,2,1,25,1
2,3,1,1,2,2,32,1
1,1,2,2,4,8,35,1
2,3,2,3,3,9,13,1
1,2,2,1,4,2,35,1
2,3,2,2,3,6,5,1
2,1,2,1,3,6,35,1
1,3,1,2,4,7,16,1
2,3,1,2,2,9,25,1
1,3,1,2,4,8,32,1
1,3,1,3,1,7,25,1
1,3,1,3,2,7,35,1
1,3,1,3,1,6,25,1
2,1,1,1,2,7,13,1
2,2,1,2,1,1,25,1
2,1,2,1,4,6,32,1
1,1,1,3,1,8,35,1
1,1,1,2,2,7,25,1
1,1,2,1,4,6,35,1
2,1,1,1,1,8,35,1
2,1,1,3,1,8,35,1
1,2,1,3,4,5,27,1
2,2,1,2,4,5,35,1
2,2,1,3,2,9,35,1
2,1,2,2,2,9,32,1
2,2,1,3,2,9,10,1
2,1,1,3,3,1,25,1
1,2,1,3,4,8,32,1
2,3,1,3,1,1,2,1
2,3,2,1,2,7,35,1
1,3,1,1,2,2,25,1
2,1,2,3,1,2,5,1
2,2,1,1,4,7,35,1
2,1,1,3,4,2,25,1
1,1,1,3,3,9,32,1
1,2,2,2,2,8,32,1
2,3,1,2,1,9,14,1
2,1,2,2,4,6,25,1
2,2,2,1,2,6,35,1
2,2,1,3,3,4,35,1
2,2,1,2,3,7,2,1
1,2,2,2,1,7,25,1
1,1,1,3,2,2,32,1
2,2,2,3,2,9,16,1
2,2,2,3,3,9,5,1
2,1,2,1,4,8,4,1
1,1,1,3,1,2,32,1
1,3,2,2,2,9,32,1
2,2,1,2,2,1,32,1
2,2,1,3,4,8,22,1
1,2,2,2,4,4,25,1
2,1,1,3,4,5,25,1
2,3,2,1,1,1,32,1
2,3,2,3,1,7,32,1
1,1,2,1,3,4,32,1
1,2,1,3,1,1,32,1
1,1,2,2,1,5,32,1
1,3,1,2,3,8,5,1
1,2,1,2,1,2,2,1
1,1,2,2,4,9,25,1
2,2,1,3,1,8,12,1
2,3,2,3,3,5,8,1
1,2,2,1,3,8,5,1
2,3,2,3,2,7,32,1
1,3,1,2,1,2,35,1
1,2,1,3,2,7,35,1
1,3,2,2,1,7,32,1
1,1,2,3,3,8,32,1
1,1,1,3,2,6,22,1
2,3,2,3,4,8,35,1
1,2,1,3,1,9,5,1
2,2,2,3,4,2,35,1
2,3,2,3,2,8,35,1
1,2,2,2,1,4,25,1
1,2,1,1,2,7,35,1
1,2,2,3,1,3,35,1
2,1,2,3,1,8,35,1
1,1,2,2,4,9,13,1
2,2,1,1,1,1,20,1
2,3,2,3,4,8,5,1
1,1,2,3,3,4,5,1
2,1,2,2,3,7,25,1
1,2,2,3,1,1,13,1
1,2,1,2,2,2,7,1
2,2,2,2,1,2,20,1
2,3,1,2,3,4,32,1
2,2,1,3,2,1,32,1
1,3,1,1,1,8,4,1
1,2,2,3,4,8,2,1
1,3,2,1,2,2,2,1
2,3,1,3,2,8,32,1
2,3,1,3,4,6,13,1
1,3,2,3,1,8,13,1
1,1,2,3,2,7,32,1
2,2,2,3,1,2,35,1
2,1,2,1,1,5,5,1
2,3,2,3,2,2,35,1
1,2,2,3,4,5,35,1
2,1,1,2,3,1,35,1
2,2,2,2,2,2,32,1
2,3,1,2,1,1,7,1
2,3,1,3,4,4,25,1
2,3,1,2,1,1,2,1
2,3,2,3,1,7,8,1
2,1,2,3,2,4,35,1
2,3,1,3,3,8,32,1
1,3,1,1,1,7,32,1
1,3,1,1,1,4,4,1
2,2,1,2,4,8,5,1
2,1,2,3,1,4,2,1
1,2,2,2,3,9,32,1
1,3,2,2,1,2,32,1
1,3,1,2,1,2,35,1
2,2,1,1,4,1,35,1
2,2,2,1,3,6,5,1
1,2,2,2,3,1,9,1
2,1,1,3,4,9,16,1
2,2,2,1,1,6,32,1
1,2,2,2,1,1,32,1
2,1,2,1,2,8,32,1
1,1,1,2,3,6,32,1
2,1,1,1,4,4,27,1
1,2,2,1,1,4,32,1
1,1,1,1,1,4,5,1
1,2,2,1,1,8,32,1
1,2,2,2,3,5,32,1
2,1,1,3,1,8,32,1
2,1,2,1,3,1,35,1
2,1,1,2,2,6,32,1
2,3,1,1,3,5,35,1
2,1,2,1,2,7,32,1
1,2,1,1,2,8,5,1
1,1,2,2,2,1,18,1
1,2,2,1,3,2,32,1
2,1,2,1,3,3,8,1
2,2,1,1,1,2,32,1
1,1,2,3,2,9,2,1
1,1,2,1,2,4,5,1
2,2,2,2,2,1,2,1
2,2,1,1,1,1,32,1
2,3,1,2,3,6,32,1
1,2,2,3,1,4,13,1
2,1,2,2,1,6,32,1
2,2,2,2,2,3,32,1
1,3,1,2,2,1,32,1
1,3,1,1,3,8,2,1
2,1,1,2,2,4,32,1
2,3,1,1,4,8,32,1
1,3,1,3,2,1,32,1
2,3,1,2,4,1,13,1
2,1,1,3,4,9,35,1
1,2,1,3,1,7,8,1
1,1,1,1,1,2,25,1
1,1,2,3,2,2,20,1
1,1,1,3,1,8,32,1
1,3,1,2,2,8,32,1
1,2,1,3,1,7,32,1
2,3,1,3,4,7,25,1
2,1,1,3,2,8,5,1
1,3,2,1,4,8,2,1
2,2,2,3,3,1,25,1
2,1,2,2,2,4,25,1
2,3,2,1,3,7,5,1
2,3,2,3,3,7,32,1